value,date
271360,1/1/1997
271585,2/1/1997
271821,3/1/1997
272083,4/1/1997
272342,5/1/1997
272622,6/1/1997
272912,7/1/1997
273237,8/1/1997
273553,9/1/1997
273852,10/1/1997
274126,11/1/1997
274372,12/1/1997
274626,1/1/1998
274838,2/1/1998
275047,3/1/1998
275304,4/1/1998
275564,5/1/1998
275836,6/1/1998
276115,7/1/1998
276418,8/1/1998
276714,9/1/1998
277003,10/1/1998
277277,11/1/1998
277526,12/1/1998
277790,1/1/1999
277992,2/1/1999
278198,3/1/1999
278451,4/1/1999
278717,5/1/1999
279001,6/1/1999
279295,7/1/1999
279602,8/1/1999
279903,9/1/1999
280203,10/1/1999
280471,11/1/1999
280716,12/1/1999
280976,1/1/2000
281190,2/1/2000
281409,3/1/2000
281653,4/1/2000
281877,5/1/2000
282126,6/1/2000
282385,7/1/2000
282653,8/1/2000
282932,9/1/2000
283201,10/1/2000
283453,11/1/2000
283696,12/1/2000
283920,1/1/2001
284137,2/1/2001
284350,3/1/2001
284581,4/1/2001
284810,5/1/2001
285062,6/1/2001
285309,7/1/2001
285570,8/1/2001
285843,9/1/2001
286098,10/1/2001
286341,11/1/2001
286570,12/1/2001
286788,1/1/2002
286994,2/1/2002
287190,3/1/2002
287397,4/1/2002
287623,5/1/2002
287864,6/1/2002
288105,7/1/2002
288360,8/1/2002
288618,9/1/2002
288870,10/1/2002
289106,11/1/2002
289313,12/1/2002
289518,1/1/2003
289714,2/1/2003
289911,3/1/2003
290125,4/1/2003
290346,5/1/2003
290584,6/1/2003
290820,7/1/2003
291072,8/1/2003
291321,9/1/2003
291574,10/1/2003
291807,11/1/2003
292008,12/1/2003
292192,1/1/2004
292368,2/1/2004
292561,3/1/2004
292779,4/1/2004
292997,5/1/2004
293223,6/1/2004
293463,7/1/2004
293719,8/1/2004
293971,9/1/2004
294230,10/1/2004
294466,11/1/2004
294694,12/1/2004
294914,1/1/2005
295105,2/1/2005
295287,3/1/2005
295490,4/1/2005
295704,5/1/2005
295936,6/1/2005
296186,7/1/2005
296440,8/1/2005
296707,9/1/2005
296972,10/1/2005
297207,11/1/2005
297431,12/1/2005
297647,1/1/2006
297854,2/1/2006
298060,3/1/2006
298281,4/1/2006
298496,5/1/2006
298739,6/1/2006
298996,7/1/2006
299263,8/1/2006
299554,9/1/2006
299835,10/1/2006
300094,11/1/2006
300340,12/1/2006
300574,1/1/2007
300802,2/1/2007
301021,3/1/2007
301254,4/1/2007
301483,5/1/2007
301739,6/1/2007
302004,7/1/2007
302267,8/1/2007
302546,9/1/2007
302807,10/1/2007
303054,11/1/2007
303287,12/1/2007
303506,1/1/2008
303711,2/1/2008
303907,3/1/2008
304117,4/1/2008
304323,5/1/2008
304556,6/1/2008
304798,7/1/2008
305045,8/1/2008
305309,9/1/2008
305554,10/1/2008
305786,11/1/2008
306004,12/1/2008
306208,1/1/2009
306402,2/1/2009
306588,3/1/2009
306787,4/1/2009
306984,5/1/2009
307206,6/1/2009
307439,7/1/2009
307685,8/1/2009
307946,9/1/2009
308189,10/1/2009
308418,11/1/2009
308633,12/1/2009
308833,1/1/2010
309027,2/1/2010
309212,3/1/2010
309191.211,4/1/2010
309369.053,5/1/2010
309548.502,6/1/2010
309745.698,7/1/2010
309957.775,8/1/2010
310176.466,9/1/2010
310399.958,10/1/2010
310595.764,11/1/2010
310781.705,12/1/2010
310960.74,1/1/2011
311113.376,2/1/2011
311265.404,3/1/2011
311436.238,4/1/2011
311607.08,5/1/2011
311791.223,6/1/2011
311997.049,7/1/2011
312205.367,8/1/2011
312429.118,9/1/2011
312644.159,10/1/2011
312829.523,11/1/2011
313009.712,12/1/2011
313183.179,1/1/2012
313338.977,2/1/2012
313499.369,3/1/2012
313667.127,4/1/2012
313830.53,5/1/2012
314017.594,6/1/2012
314210.786,7/1/2012
314422.341,8/1/2012
314646.749,9/1/2012
314853.978,10/1/2012
315053.863,11/1/2012
315232.752,12/1/2012
315389.595,1/1/2013
315520.143,2/1/2013
315662.224,3/1/2013
315817.855,4/1/2013
315983.654,5/1/2013
316171.042,6/1/2013
316358.778,7/1/2013
316580.327,8/1/2013
316806.125,9/1/2013
317022.27,10/1/2013
317228.026,11/1/2013
317411.551,12/1/2013
317593.923,1/1/2014
317753.883,2/1/2014
317917.203,3/1/2014
318089.218,4/1/2014
318269.505,5/1/2014
318464.152,6/1/2014
318662.368,7/1/2014
318893.786,8/1/2014
319125.296,9/1/2014
319353.734,10/1/2014
319564.209,11/1/2014
319746.157,12/1/2014
319928.646,1/1/2015
320074.511,2/1/2015
320230.786,3/1/2015
320402.295,4/1/2015
320583.972,5/1/2015
320773.558,6/1/2015
320978.213,7/1/2015
321202.45,8/1/2015
